,Close,compound,negative,neutral,positive,Open,High,Low,Volume
0,159.220001,0.2924,0.0,0.805,0.195,162.449997,163.839996,158.279999,121954600.0
1,170.330002,0.0,0.0,1.0,0.0,165.710007,170.350006,162.800003,179935700.0
2,174.779999,-0.2263,0.322,0.678,0.0,170.160004,175.0,169.509995,115541600.0
3,174.610001,0.0,0.0,1.0,0.0,174.009995,174.839996,172.309998,86213900.0
4,175.839996,0.3818,0.0,0.658,0.342,174.75,175.880005,173.330002,84914300.0
5,172.899994,0.0,0.0,1.0,0.0,174.479996,176.240005,172.119995,89418100.0
6,172.389999,0.0,0.0,1.0,0.0,171.679993,174.100006,170.679993,82465400.0
7,171.660004,0.0,0.0,1.0,0.0,172.860001,173.949997,170.949997,77251200.0
8,174.830002,0.4215,0.293,0.345,0.362,171.729996,175.350006,171.429993,74829200.0
9,176.279999,0.0,0.0,1.0,0.0,176.050003,176.649994,174.899994,71285000.0
10,172.119995,-0.34,0.444,0.556,0.0,174.139999,175.479996,171.550003,90865900.0
11,168.639999,0.0,0.0,1.0,0.0,172.330002,173.080002,168.039993,98670700.0
12,168.880005,0.4576,0.0,0.667,0.333,167.369995,169.580002,166.559998,86185500.0
13,172.789993,0.0,0.0,1.0,0.0,170.970001,172.949997,170.25,62527400.0
14,172.550003,0.0,0.0,1.0,0.0,171.850006,173.339996,170.050003,61177400.0
15,168.880005,-0.6249,0.406,0.594,0.0,171.029999,171.910004,168.470001,69589300.0
16,167.300003,0.0,0.0,1.0,0.0,169.820007,170.539993,166.190002,82772700.0
17,164.320007,0.128,0.0,0.727,0.273,164.979996,166.690002,162.149994,91162800.0
18,160.070007,0.0,0.0,1.0,0.0,165.539993,166.149994,159.75,90009200.0
19,162.740005,0.0,0.0,1.0,0.0,152.580002,162.850006,152.0,141147500.0
20,164.850006,-0.2263,0.322,0.678,0.0,163.839996,165.119995,160.869995,91974200.0
21,165.119995,0.0,0.0,1.0,0.0,163.059998,165.419998,162.429993,95056600.0
22,163.199997,0.0,0.0,1.0,0.0,164.699997,166.600006,161.970001,83474400.0
23,166.559998,0.0,0.0,1.0,0.0,164.389999,167.360001,162.949997,79724800.0
24,166.229996,0.0,0.0,1.0,0.0,168.470001,168.910004,165.550003,76678400.0
